Alpha; Gama; Grade
0,555;0,905;14,0
0,555;0,91;14,0
0,555;0,915;14,0
0,555;0,92;14,0
0,555;0,925;14,0
0,555;0,93;14,0
0,555;0,935;14,0
0,555;0,94;14,0
0,555;0,945;14,0
0,555;0,95;14,0
0,555;0,955;14,0
0,555;0,96;14,0
0,555;0,965;14,0
0,555;0,97;14,0
0,555;0,975;14,0
0,555;0,98;14,0
0,555;0,985;11,2
0,555;0,99;14,0
0,555;0,995;17,0
0,555;1,0;20,0
0,56;0,9;14,0
0,56;0,905;14,0
0,56;0,91;14,0
0,56;0,915;14,0
0,56;0,92;14,0
0,56;0,925;14,0
0,56;0,93;14,0
0,56;0,935;14,0
0,56;0,94;14,0
0,56;0,945;14,0
0,56;0,95;14,0
0,56;0,955;14,0
0,56;0,96;14,0
0,56;0,965;14,0
0,56;0,97;14,0
0,56;0,975;14,0
0,56;0,98;14,0
0,56;0,985;11,2
0,56;0,99;14,0
0,56;0,995;17,6
0,56;1,0;20,0
0,565;0,9;14,0
0,565;0,905;14,0
0,565;0,91;14,0
0,565;0,915;14,0
0,565;0,92;14,0
0,565;0,925;14,0
0,565;0,93;14,0
0,565;0,935;14,0
0,565;0,94;14,0
0,565;0,945;14,0
0,565;0,95;14,0
0,565;0,955;14,0
0,565;0,96;14,0
0,565;0,965;14,0
0,565;0,97;14,0
0,565;0,975;12,6
0,565;0,98;14,0
0,565;0,985;14,0
0,565;0,99;14,0
0,565;0,995;17,0
0,565;1,0;20,0
0,57;0,9;14,0
0,57;0,905;14,0
0,57;0,91;14,0
0,57;0,915;14,0
0,57;0,92;14,0
0,57;0,925;14,0
0,57;0,93;14,0
0,57;0,935;14,0
0,57;0,94;14,0
0,57;0,945;14,0
0,57;0,95;14,0
0,57;0,955;14,0
0,57;0,96;14,0
0,57;0,965;14,0
0,57;0,97;14,0
0,57;0,975;14,0
0,57;0,98;12,6
0,57;0,985;9,8
0,57;0,99;14,6
0,57;0,995;17,0
0,57;1,0;20,0
0,575;0,9;14,0
0,575;0,905;14,0
0,575;0,91;14,0
0,575;0,915;14,0
0,575;0,92;14,0
0,575;0,925;14,0
0,575;0,93;14,0
0,575;0,935;14,0
0,575;0,94;14,0
0,575;0,945;14,0
0,575;0,95;14,0
0,575;0,955;14,0
0,575;0,96;14,0
0,575;0,965;14,0
0,575;0,97;14,0
0,575;0,975;14,0
0,575;0,98;14,0
0,575;0,985;14,0
0,575;0,99;14,0
0,575;0,995;17,0
0,575;1,0;20,0
0,58;0,9;14,0
0,58;0,905;14,0
0,58;0,91;14,0
0,58;0,915;14,0
0,58;0,92;14,0
0,58;0,925;14,0
0,58;0,93;14,0
0,58;0,935;14,0
0,58;0,94;14,0
0,58;0,945;14,0
0,58;0,95;14,0
0,58;0,955;14,0
0,58;0,96;14,0
0,58;0,965;14,0
0,58;0,97;14,0
0,58;0,975;14,0
0,58;0,98;14,0
0,58;0,985;14,0
0,58;0,99;14,0
0,58;0,995;17,0
0,58;1,0;20,0
0,585;0,9;14,0
0,585;0,905;14,0
0,585;0,91;14,0
0,585;0,915;14,0
0,585;0,92;14,0
0,585;0,925;14,0
0,585;0,93;14,0
0,585;0,935;14,0
0,585;0,94;14,0
0,585;0,945;14,0
0,585;0,95;14,0
0,585;0,955;14,0
0,585;0,96;14,0
0,585;0,965;14,0
0,585;0,97;14,0
0,585;0,975;14,0
0,585;0,98;14,0
0,585;0,985;12,6
0,585;0,99;14,6
0,585;0,995;17,0
0,585;1,0;20,0
0,59;0,9;14,0
0,59;0,905;14,0
0,59;0,91;14,0
0,59;0,915;14,0
0,59;0,92;14,0
0,59;0,925;14,0
0,59;0,93;14,0
0,59;0,935;14,0
0,59;0,94;14,0
0,59;0,945;14,0
0,59;0,95;14,0
0,59;0,955;14,0
0,59;0,96;14,0
0,59;0,965;14,0
0,59;0,97;14,0
0,59;0,975;14,0
0,59;0,98;14,0
0,59;0,985;14,0
0,59;0,99;14,0
0,59;0,995;17,0
0,59;1,0;20,0
0,595;0,9;14,0
0,595;0,905;14,0
0,595;0,91;14,0
0,595;0,915;14,0
